年份,子赛事,学校,队伍名称,OS,查重分支,终选repo,初赛fork版,初赛fork版访问情况,源地址,源地址访问情况,决赛fork版,决赛fork版访问情况,备注
2025,内核实现赛道,清华大学,Starry Mix,Starry Mix,main,,,空,https://gitlab.eduxiji.net/T202510003996120/starry-mix,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/starry-mix,失效,
2025,内核实现赛道,天津大学,Moncake,MonkeyOS,LP,,,空,https://gitlab.eduxiji.net/T202510056995244/monkeyos,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510056995244-24,可访问,
2025,内核实现赛道,天津理工大学,九莲宝灯一向听,WenyiOS,board-vf2,,,空,https://gitlab.eduxiji.net/T202510060995409/OSKernel2025-WenyiOS,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510060995409-3585,可访问,
2025,内核实现赛道,同济大学,sudo_pacman_Syu,Eonix,main,,,空,https://gitlab.eduxiji.net/T202510247995532/oskernel2025-eonix,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510247995532-2817,可访问,
2025,内核实现赛道,武汉大学,武大前锋,RustOsWhu,main,,,空,https://gitlab.eduxiji.net/T202510486995158/OSKernel2025-rustoswhu,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510486995158-1328,可访问,
2025,内核实现赛道,武汉大学,智核速启队,SC7 (martCore7),master,,,空,,空,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510486995194-334,可访问,
2025,内核实现赛道,武汉大学,F7LY,F7LY OS,main,,,空,https://github.com/KidsZZ/F7LY,可访问；以 GitHub 完整镜像为最新,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510486995205-1539,可访问,
2025,内核实现赛道,武汉大学,RuOK,OSKernel2025-RuOK,on-site,,,空,https://gitlab.eduxiji.net/T202510486995232/oskernel2025,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510486995232-2402,可访问,
2025,内核实现赛道,武汉大学,OSakura,OSakura,main,,,空,https://gitlab.eduxiji.net/T202510486995252/oskernel2025-osakura-final,可访问,https://gitlab.eduxiji.net/educg-group-36002-2710490/T202510486995252-114,可访问,
2025,内核实现赛道（中西部区域赛）,武汉大学,dwg,OSKernel2025-WHU-OSLab,main,,,空,https://gitlab.eduxiji.net/T202510486998193/oskernel2025-x,未复查；由fork上游补出,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510486998193-1272,可访问,
2025,内核实现赛道（中西部区域赛）,武汉大学,RuOS,RUOS,onsite-123,,,空,https://gitlab.eduxiji.net/T202510486995199/xv6-lab-sbi-test,未复查；由fork上游补出,https://gitlab.eduxiji.net/educg-group-38066-3006609/T202510486997674-3675,可访问,
